ID,D,Rockfraction,S,FractionSand,Sand%,Texture,Texture2,fr
12A20_1,0.005966014,3.196214008,93.50887936,0.034180861,3.418086101,Silt,96.5819139,0.034180861
12A20_1,0.001517313,3.093478558,93.50887936,0.03308219,3.308219047,Clay,96.69178095,0.03308219
12A20_1,0.001181999,3.088410276,93.50887936,0.033027989,3.302798939,Clay,96.69720106,0.033027989
12A20_1,0.001091183,3.088410276,93.50887936,0.033027989,3.302798939,Clay,96.69720106,0.033027989
12A20_1,0.001024538,3.088410276,93.50887936,0.033027989,3.302798939,Clay,96.69720106,0.033027989
12A20_1,0.000773286,2.860109275,93.50887936,0.030586499,3.058649932,Clay,96.94135007,0.030586499
17A20_2,2,70.36789298,70.36789298,1,100,Sand,0,1
17A20_2,1,50.10033445,70.36789298,0.711977186,71.19771863,Sand,28.80228137,0.711977186
17A20_2,0.5,35.71906355,70.36789298,0.507604563,50.76045627,Sand,49.23954373,0.507604563
17A20_2,0.25,18.72909699,70.36789298,0.266159696,26.61596958,Sand,73.38403042,0.266159696
17A20_2,0.15,9.899665552,70.36789298,0.140684411,14.06844106,Sand,85.93155894,0.140684411
17A20_2,0.053326268,7.938955093,70.36789298,0.112820702,11.28207021,Sand,88.71792979,0.112820702
17A20_2,0.031735477,7.170049031,70.36789298,0.101893758,10.18937576,Silt,89.81062424,0.101893758
17A20_2,0.028017444,6.785596,70.36789298,0.096430285,9.643028536,Silt,90.35697146,0.096430285
17A20_2,0.018214388,6.016689937,70.36789298,0.085503341,8.550334084,Silt,91.44966592,0.085503341
17A20_2,0.012248643,5.103613988,70.36789298,0.072527594,7.252759423,Silt,92.74724058,0.072527594
17A20_2,0.008195085,4.478877813,70.36789298,0.063649452,6.364945181,Silt,93.63505482,0.063649452
17A20_2,0.006833288,4.286651297,70.36789298,0.060917716,6.091771568,Silt,93.90822843,0.060917716
17A20_2,0.00566404,3.902198266,70.36789298,0.055454243,5.545424342,Silt,94.45457566,0.055454243
17A20_2,0.002715161,3.281114394,70.36789298,0.046628004,4.662800399,Silt,95.3371996,0.046628004
17A20_2,0.001996207,2.896661363,70.36789298,0.041164532,4.116453173,Clay,95.88354683,0.041164532
